Model,Accuracy,Precision,Recall,F1 Score,ROC AUC,Training Time (s)
gradient_boosting,0.8903394255874674,0.9161676646706587,0.95625,0.9357798165137615,0.8816468253968253,123.65139961242676
random_forest,0.8877284595300261,0.899135446685879,0.975,0.9355322338830585,0.9105654761904761,20.53196430206299
xgboost,0.8825065274151436,0.9032258064516129,0.9625,0.9319213313161876,0.8677083333333333,17.98177480697632
